team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase,game_id,is_left_to_right,goal,ownGoal,eventType,outcome,event_id
Away,PASS,PASS,1,24393,975.72,24433,977.32,B23,B18,20.52,7.92,12.96,12.24,1,1,False,False,False,PASS,True,165
Away,BALL LOST,INTERCEPTION,1,24433,977.32,24486,979.44,B18,,12.96,12.24,9.72,7.92,1,1,False,False,False,PASS,False,166
Home,PASS,PASS,1,24980,999.2,25031,1001.24,A04,A10,28.08,-0.72,36.720000000000006,7.2,1,1,True,False,False,PASS,True,167
Home,PASS,PASS,1,25476,1019.04,25517,1020.68,A07,A06,45.36,26.64,42.120000000000005,46.08,1,1,True,False,False,PASS,True,168
Home,PASS,PASS,1,25546,1021.84,25578,1023.12,A06,A01,43.2,48.24,51.84,67.67999999999999,1,1,True,False,False,PASS,True,169
Home,BALL LOST,INTERCEPTION,1,25704,1028.16,25705,1028.2,A01,,78.84,68.39999999999999,82.08,66.96000000000001,1,1,True,False,False,PASS,False,170
Home,PASS,PASS,1,26544,1061.76,26590,1063.6,A06,A10,104.76,70.56,92.88,47.52,1,1,True,False,False,PASS,True,171
Home,PASS,PASS,1,26590,1063.6,26608,1064.32,A10,A08,92.88,47.52,102.6,38.16,1,1,True,False,False,PASS,True,172
Away,BALL LOST,GOAL KICK-INTERCEPTION,1,27247,1089.88,27330,1093.2,B25,,102.6,33.120000000000005,47.52,8.64,1,1,False,False,False,PASS,False,173
Away,PASS,PASS,1,27412,1096.48,27456,1098.24,B21,B22,48.6,38.16,38.88,64.08,1,1,False,False,False,PASS,True,174
Away,PASS,PASS,1,27534,1101.36,27557,1102.28,B22,B21,33.48,66.24000000000001,38.88,59.04,1,1,False,False,False,PASS,True,175
Away,PASS,PASS,1,27578,1103.12,27601,1104.04,B21,B23,36.720000000000006,59.04,24.84,56.16,1,1,False,False,False,PASS,True,176
Away,PASS,PASS,1,27609,1104.36,27624,1104.96,B23,B21,25.92,56.16,30.24,59.76,1,1,False,False,False,PASS,True,177
Away,PASS,PASS,1,27657,1106.28,27673,1106.92,B21,B19,29.160000000000004,57.6,33.48,51.84,1,1,False,False,False,PASS,True,178
Away,BALL LOST,INTERCEPTION,1,27711,1108.44,27724,1108.96,B19,,30.24,51.84,24.84,60.48,1,1,False,False,False,PASS,False,179
Home,PASS,PASS,1,27724,1108.96,27746,1109.84,A05,A01,23.76,60.48,16.2,56.88,1,1,True,False,False,PASS,True,180
Home,PASS,PASS,1,27778,1111.12,27797,1111.88,A01,A05,18.360000000000003,57.6,24.84,64.8,1,1,True,False,False,PASS,True,181
Home,PASS,PASS,1,27797,1111.88,27839,1113.56,A05,A07,24.84,64.8,31.32,56.88,1,1,True,False,False,PASS,True,182
Home,PASS,PASS,1,27839,1113.56,27870,1114.8,A07,A05,31.32,56.88,41.04,66.24000000000001,1,1,True,False,False,PASS,True,183
Home,PASS,PASS,1,27942,1117.68,27991,1119.64,A05,A08,58.32000000000001,52.56,68.04,21.6,1,1,True,False,False,PASS,True,184
Away,PASS,PASS,1,28339,1133.56,28407,1136.28,B25,B21,92.88,39.6,68.04,69.84,1,1,False,False,False,PASS,True,185
Away,BALL LOST,INTERCEPTION,1,28527,1141.08,28589,1143.56,B21,,45.36,69.12,14.04,62.64,1,1,False,False,False,PASS,False,186
Home,BALL OUT,CLEARANCE,1,28586,1143.44,28605,1144.2,A02,,18.360000000000003,59.04,14.04,74.16,1,1,True,False,False,PASS,False,187
Away,PASS,PASS,1,28788,1151.52,28811,1152.44,B21,B22,20.52,72.72,27.0,70.56,1,1,False,False,False,PASS,True,188
Away,PASS,PASS,1,28858,1154.32,28885,1155.4,B22,B19,28.08,68.39999999999999,31.32,55.44,1,1,False,False,False,PASS,True,189
Away,PASS,PASS,1,28917,1156.68,28943,1157.72,B19,B22,30.24,56.88,28.08,68.39999999999999,1,1,False,False,False,PASS,True,190
