team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Home,FAULT RECEIVED,FAULT RECEIVED,1,15690,627.6,15690,627.6,A03,,42.120000000000005,33.120000000000005,,,1
Away,CHALLENGE,GROUND-FAULT-LOST,1,15690,627.6,15690,627.6,B24,,43.2,33.120000000000005,,,1
Home,SET PIECE,FREE KICK,1,15917,636.68,15917,636.68,A03,,,,,,1
Home,PASS,PASS,1,15917,636.68,15973,638.92,A03,A01,36.720000000000006,31.68,46.44,65.52,1
Home,PASS,PASS,1,16045,641.8,16066,642.64,A01,A06,56.160000000000004,65.52,58.32000000000001,52.56,1
Home,PASS,PASS,1,16066,642.64,16094,643.76,A06,A01,58.32000000000001,52.56,57.24,64.8,1
Home,PASS,PASS,1,16094,643.76,16134,645.36,A01,A02,57.24,64.8,37.8,57.6,1
Home,PASS,PASS,1,16162,646.48,16193,647.72,A02,A03,37.8,56.88,32.4,38.160000000000004,1
Home,PASS,PASS,1,16223,648.92,16252,650.08,A03,A06,31.319999999999997,41.04,50.76,48.24,1
Home,PASS,PASS,1,16252,650.08,16303,652.12,A06,A04,50.76,48.24,44.279999999999994,15.84,1
Home,PASS,PASS,1,16332,653.28,16359,654.36,A04,A10,47.52,15.84,57.24,19.44,1
Home,PASS,PASS,1,16383,655.32,16424,656.96,A10,A08,60.480000000000004,17.28,74.52,2.16,1
Home,BALL LOST,BALL LOST,1,16465,658.6,16470,658.8,A08,,83.16,5.040000000000001,84.24000000000001,10.080000000000002,1
Away,RECOVERY,INTERCEPTION,1,16471,658.84,16471,658.84,B15,,86.4,9.36,,,1
Away,BALL OUT,BALL OUT,1,16471,658.84,16543,661.72,B15,,86.4,9.36,111.24000000000001,14.4,1
Home,SET PIECE,CORNER KICK,1,17276,691.04,17276,691.04,A06,,,,,,1
Home,BALL LOST,INTERCEPTION,1,17276,691.04,17318,692.72,A06,,109.08,0.72,100.44000000000001,38.160000000000004,1
Away,RECOVERY,INTERCEPTION,1,17316,692.64,17316,692.64,B19,,101.52,36.72,,,1
Away,BALL OUT,HEAD,1,17316,692.64,17352,694.08,B19,,101.52,36.72,112.32000000000001,48.24,1
Home,SET PIECE,CORNER KICK,1,18203,728.12,18203,728.12,A06,,,,,,1
Home,PASS,PASS,1,18203,728.12,18252,730.08,A06,A03,101.52,71.28,96.12,33.120000000000005,1
